2025-11-07T21:51:51.176625534Z [err]      mod = importlib.import_module(module)
2025-11-07T21:51:51.176630755Z [err]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:51.176635402Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
2025-11-07T21:51:51.176640440Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
2025-11-07T21:51:51.176644898Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:51.176651247Z [err]    File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
2025-11-07T21:51:51.176655786Z [err]    File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
2025-11-07T21:51:51.176660651Z [err]    File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked
2025-11-07T21:51:51.176665551Z [err]    File "<frozen importlib._bootstrap>", line 690, in _load_unlocked
2025-11-07T21:51:51.176670249Z [err]    File "<frozen importlib._bootstrap_external>", line 940, in exec_module
2025-11-07T21:51:51.176674448Z [err]    File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed
2025-11-07T21:51:51.176679387Z [err]    File "/app/app.py", line 3, in <module>
2025-11-07T21:51:51.176683362Z [err]      from factory import create_app
2025-11-07T21:51:51.176688010Z [err]    File "/app/factory.py", line 15, in <module>
2025-11-07T21:51:51.176694349Z [err]      from auth import auth_bp
2025-11-07T21:51:51.176698682Z [err]    File "/app/auth.py", line 11, in <module>
2025-11-07T21:51:51.176703400Z [err]      from supabase_client import supabase_client
2025-11-07T21:51:51.176708717Z [err]    File "/app/supabase_client.py", line 4, in <module>
2025-11-07T21:51:51.176713296Z [err]      import supabase
2025-11-07T21:51:51.176718945Z [err]    File "/usr/local/lib/python3.11/site-packages/supabase/__init__.py", line 22, in <module>
2025-11-07T21:51:51.176723255Z [err]      from ._async.auth_client import AsyncSupabaseAuthClient as ASupabaseAuthClient
2025-11-07T21:51:51.176728208Z [err]    File "/usr/local/lib/python3.11/site-packages/supabase/_async/auth_client.py", line 9, in <module>
2025-11-07T21:51:51.176733371Z [err]      from supabase_auth.http_clients import AsyncClient
2025-11-07T21:51:51.176738803Z [err]  ModuleNotFoundError: No module named 'supabase_auth.http_clients'
2025-11-07T21:51:51.176743789Z [err]  [2025-11-07 21:51:51 +0000] [2] [INFO] Worker exiting (pid: 2)
2025-11-07T21:51:51.310448878Z [err]  [2025-11-07 21:51:51 +0000] [1] [ERROR] Worker (pid:2) exited with code 3
2025-11-07T21:51:51.312005027Z [err]  [2025-11-07 21:51:51 +0000] [1] [ERROR] Shutting down: Master
2025-11-07T21:51:51.312016655Z [err]  [2025-11-07 21:51:51 +0000] [1] [ERROR] Reason: Worker failed to boot.
2025-11-07T21:51:53.172952780Z [err]  [2025-11-07 21:51:52 +0000] [2] [INFO] Booting worker with pid: 2
2025-11-07T21:51:53.173027111Z [err]  [2025-11-07 21:51:52 +0000] [1] [INFO] Starting gunicorn 23.0.0
2025-11-07T21:51:53.173035282Z [err]  [2025-11-07 21:51:52 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-11-07T21:51:53.173043778Z [err]  [2025-11-07 21:51:52 +0000] [1] [INFO] Using worker: eventlet
2025-11-07T21:51:53.533538761Z [err]      self.wsgi = self.app.wsgi()
2025-11-07T21:51:53.533544972Z [err]  [2025-11-07 21:51:53 +0000] [2] [ERROR] Exception in worker process
2025-11-07T21:51:53.533548565Z [err]                  ^^^^^^^^^^^^^^^
2025-11-07T21:51:53.533554668Z [err]  Traceback (most recent call last):
2025-11-07T21:51:53.533555156Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/base.py", line 66, in wsgi
2025-11-07T21:51:53.533562713Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/arbiter.py", line 608, in spawn_worker
2025-11-07T21:51:53.533563372Z [err]      self.callable = self.load()
2025-11-07T21:51:53.533571031Z [err]      worker.init_process()
2025-11-07T21:51:53.533573096Z [err]                      ^^^^^^^^^^^
2025-11-07T21:51:53.533575985Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/geventlet.py", line 142, in init_process
2025-11-07T21:51:53.533579775Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 57, in load
2025-11-07T21:51:53.533586241Z [err]      return self.load_wsgiapp()
2025-11-07T21:51:53.533586747Z [err]      super().init_process()
2025-11-07T21:51:53.533592861Z [err]             ^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:53.533594719Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 135, in init_process
2025-11-07T21:51:53.533599152Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 47, in load_wsgiapp
2025-11-07T21:51:53.533604366Z [err]      self.load_wsgi()
2025-11-07T21:51:53.533605490Z [err]      return util.import_app(self.app_uri)
2025-11-07T21:51:53.533612344Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:53.533615158Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 147, in load_wsgi
2025-11-07T21:51:53.533618917Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/util.py", line 370, in import_app
2025-11-07T21:51:53.534570321Z [err]      mod = importlib.import_module(module)
2025-11-07T21:51:53.534576387Z [err]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:53.534581933Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
2025-11-07T21:51:53.534582631Z [err]      from factory import create_app
2025-11-07T21:51:53.534586552Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
2025-11-07T21:51:53.534593922Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:53.534594100Z [err]    File "/app/factory.py", line 15, in <module>
2025-11-07T21:51:53.534601397Z [err]    File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
2025-11-07T21:51:53.534606478Z [err]    File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
2025-11-07T21:51:53.534607656Z [err]      from auth import auth_bp
2025-11-07T21:51:53.534613284Z [err]    File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked
2025-11-07T21:51:53.534617058Z [err]    File "/app/auth.py", line 11, in <module>
2025-11-07T21:51:53.534623213Z [err]    File "<frozen importlib._bootstrap>", line 690, in _load_unlocked
2025-11-07T21:51:53.534624886Z [err]      from supabase_client import supabase_client
2025-11-07T21:51:53.534631183Z [err]    File "<frozen importlib._bootstrap_external>", line 940, in exec_module
2025-11-07T21:51:53.534635462Z [err]    File "/app/supabase_client.py", line 4, in <module>
2025-11-07T21:51:53.534639107Z [err]    File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed
2025-11-07T21:51:53.534644085Z [err]      import supabase
2025-11-07T21:51:53.534647221Z [err]    File "/app/app.py", line 3, in <module>
2025-11-07T21:51:53.534651923Z [err]    File "/usr/local/lib/python3.11/site-packages/supabase/__init__.py", line 22, in <module>
2025-11-07T21:51:53.534656076Z [err]      from ._async.auth_client import AsyncSupabaseAuthClient as ASupabaseAuthClient
2025-11-07T21:51:53.535452079Z [err]    File "/usr/local/lib/python3.11/site-packages/supabase/_async/auth_client.py", line 9, in <module>
2025-11-07T21:51:53.535456553Z [err]      from supabase_auth.http_clients import AsyncClient
2025-11-07T21:51:53.535460452Z [err]  ModuleNotFoundError: No module named 'supabase_auth.http_clients'
2025-11-07T21:51:53.535464225Z [err]  [2025-11-07 21:51:53 +0000] [2] [INFO] Worker exiting (pid: 2)
2025-11-07T21:51:53.754989542Z [err]  [2025-11-07 21:51:53 +0000] [1] [ERROR] Worker (pid:2) exited with code 3
2025-11-07T21:51:53.754997268Z [err]  [2025-11-07 21:51:53 +0000] [1] [ERROR] Shutting down: Master
2025-11-07T21:51:53.755002875Z [err]  [2025-11-07 21:51:53 +0000] [1] [ERROR] Reason: Worker failed to boot.
2025-11-07T21:51:55.282009044Z [err]  [2025-11-07 21:51:55 +0000] [1] [INFO] Starting gunicorn 23.0.0
2025-11-07T21:51:55.282013954Z [err]  [2025-11-07 21:51:55 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-11-07T21:51:55.282020662Z [err]  [2025-11-07 21:51:55 +0000] [1] [INFO] Using worker: eventlet
2025-11-07T21:51:55.282041486Z [err]  [2025-11-07 21:51:55 +0000] [2] [INFO] Booting worker with pid: 2
2025-11-07T21:51:56.237135670Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 135, in init_process
2025-11-07T21:51:56.237145359Z [err]      self.load_wsgi()
2025-11-07T21:51:56.237159707Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/arbiter.py", line 608, in spawn_worker
2025-11-07T21:51:56.237165182Z [err]      worker.init_process()
2025-11-07T21:51:56.237170359Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/geventlet.py", line 142, in init_process
2025-11-07T21:51:56.237175681Z [err]      super().init_process()
2025-11-07T21:51:56.237185256Z [err]  [2025-11-07 21:51:56 +0000] [2] [ERROR] Exception in worker process
2025-11-07T21:51:56.237194930Z [err]  Traceback (most recent call last):
2025-11-07T21:51:56.237251942Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 147, in load_wsgi
2025-11-07T21:51:56.237265281Z [err]      self.wsgi = self.app.wsgi()
2025-11-07T21:51:56.237272093Z [err]                  ^^^^^^^^^^^^^^^
2025-11-07T21:51:56.237279681Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/base.py", line 66, in wsgi
2025-11-07T21:51:56.237286976Z [err]      self.callable = self.load()
2025-11-07T21:51:56.237296124Z [err]                      ^^^^^^^^^^^
2025-11-07T21:51:56.237301373Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 57, in load
2025-11-07T21:51:56.237306463Z [err]      return self.load_wsgiapp()
2025-11-07T21:51:56.237312037Z [err]             ^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:56.237321185Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 47, in load_wsgiapp
2025-11-07T21:51:56.237327793Z [err]      return util.import_app(self.app_uri)
2025-11-07T21:51:56.237333711Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:56.237339316Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/util.py", line 370, in import_app
2025-11-07T21:51:56.238523202Z [err]      mod = importlib.import_module(module)
2025-11-07T21:51:56.238530628Z [err]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:56.238537651Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
2025-11-07T21:51:56.238544266Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
